turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,187,0,0,0,0
2,418,59,0,213,1
3,572,59,0,324,2
4,767,59,0,477,3
5,1423,59,0,1133,4
6,2229,59,0,1907,5
7,3275,59,0,2931,6
8,4376,59,0,4002,7
9,5681,59,0,5281,8
10,6933,59,0,6499,9
11,7973,59,0,7512,10
12,8092,59,0,7636,10
13,8104,59,0,7643,10
14,7838,59,0,7371,10
15,7744,59,0,7281,10
16,8198,59,0,7737,10
17,8154,59,0,7695,10
18,7910,59,0,7443,10
19,8049,59,0,7590,10
20,8041,59,0,7575,10
21,8063,59,0,7605,10
22,7889,59,0,7426,10
23,8054,59,0,7596,10
24,8092,59,0,7637,10
25,7999,59,0,7539,10
26,7901,59,0,7439,10
27,7849,59,0,7387,10
28,8108,59,0,7652,10
29,8143,59,0,7684,10
30,7951,59,0,7490,10
31,7830,59,0,7345,10
32,8635,59,0,4363,10
33,8705,59,0,4288,10
34,8124,59,0,3667,10
35,8172,59,0,3904,10
36,8035,59,0,3976,10
37,9156,59,967,4759,11
38,8040,59,0,3633,10
39,7919,59,0,3457,10
40,8206,59,0,4816,10
41,8178,59,0,4834,10
42,7910,59,0,4816,10
43,8986,59,967,4016,11
44,7982,59,0,3520,10
45,10172,59,2111,4643,12
46,9083,59,967,3812,11
47,8246,59,0,4853,10
48,8429,59,0,3985,10
49,8260,59,0,4292,10
50,8328,59,0,4566,10
51,8518,59,0,4244,10
52,8495,59,0,5101,10
53,8351,59,0,4961,10
54,7876,59,0,3859,10
55,7936,59,0,4585,10
56,9863,59,2111,4276,12
57,7951,59,0,4616,10
58,9010,59,1144,3628,11
59,7948,59,0,4624,10
60,7838,59,0,4301,10
61,7919,59,0,4520,10
62,9096,59,0,4849,11
63,9125,59,0,4890,11
64,9039,59,0,5729,11
65,9577,59,0,6247,11
66,9222,59,0,6154,11
67,9059,59,0,4871,11
68,8944,59,0,5622,11
69,9616,59,0,6300,11
70,8423,59,0,4459,10
71,8921,59,0,4685,11
72,9402,59,0,5425,11
73,9311,59,0,5074,11
74,9353,59,0,5168,11
75,8936,59,0,4518,11
76,9414,59,0,5225,11
77,9181,59,0,6124,11
78,9296,59,0,5980,11
79,10409,59,1126,5002,12
80,10147,59,1126,4796,12
81,9081,59,0,4703,11
82,8890,59,0,4708,11
83,9335,59,0,5098,11
84,9212,59,0,5482,11
85,10219,59,1126,4828,12
86,10416,59,1126,5061,12
87,10587,59,1126,5044,12
88,8132,59,0,4115,10
89,10443,59,1126,5594,12
90,9213,59,0,5889,11
91,7687,59,0,4133,10
92,9220,59,0,4868,11
93,10288,59,0,5970,12
94,9613,59,0,5070,11
95,10096,59,0,3865,12
96,10191,59,0,5871,12
97,10631,59,0,5310,12
98,9483,59,0,4934,11
99,10277,59,0,5953,12
100,9531,59,0,6196,11
101,11356,59,1419,5573,13
102,10260,59,0,5926,12
103,11214,59,1030,5826,13
104,10135,59,0,4909,12
105,10252,59,0,5928,12
106,11329,59,930,6040,13
107,10418,59,0,7223,12
108,8981,59,0,5661,11
109,9062,59,0,5744,11
110,10496,59,1030,6110,12
111,8937,59,0,5618,11
112,8164,59,0,4380,10
113,7130,59,0,4315,10
114,9273,59,0,6098,12
115,9358,59,0,4229,12
116,11376,59,1910,6228,14
117,11094,59,1350,6476,14
118,8693,59,0,5398,11
119,8581,59,0,5292,11
120,9802,59,172,6403,13
121,9166,59,0,5649,11
